wavelength,flux,noise
7.27555920454383,0.0007610982890165,1.980730259429552e-05
6.813739109354263,0.0007374933547361,1.7630510963496627e-05
6.381233297001908,0.0007418892908186,1.5424131025771938e-05
5.976181027369112,0.0007320583185593,1.4041045337147027e-05
5.596839671833715,0.0007209970690156,1.3658418799537818e-05
5.241577216077359,0.0007049937616192,1.295978885393804e-05
4.908865238782125,0.0007188245922912,1.1930859060081994e-05
4.597272336008233,0.0007318051639327,1.1812899881128031e-05
4.305457962962963,0.0007027576596282,1.0969926060580565e-05
4.032166666666667,0.000691573556029,1.0377196675064195e-05
3.7234489719722568,0.0007086490143753,1.639244722318603e-05
3.650082317392665,0.0007187889890093,1.551597190410845e-05
3.578161275750088,0.0007386404600435,1.5368765268233507e-05
3.507657362758639,0.0007542138899904,1.5130925622712764e-05
3.4385426553853926,0.0007611340803254,1.5262720108606436e-05
3.3707897807914837,0.000762119568868,1.484789431929016e-05
3.304371905491112,0.0007785229131553,1.4426009885032057e-05
3.2392627247241568,0.0007645141051422,1.4191087961643305e-05
3.175436452038189,0.0007652930976002,1.396920857166962e-05
3.112867809075766,0.0007396489353049,1.4079696254611132e-05
3.0515320155629504,0.0007180824488231,1.4145699605493892e-05
2.9914047794950998,0.0007249199658016,1.3657921706916196e-05
2.932462287516027,0.0007187589754754,1.3405664544516724e-05
2.874681195486743,0.0007191357150143,1.308548384594155e-05
2.818038619240019,0.0007168873935568,1.3181670126728147e-05
2.7625121255171248,0.0007121216519738,1.311893670170448e-05
2.708079723083153,0.0007061441824416,1.3034732791723685e-05
2.6547198540174035,0.0007084331174952,1.2455755742767303e-05
2.6024113851753783,0.0007157258919235,1.2243976477206808e-05
2.5511335998190163,0.0007180931134102,1.225790465914994e-05
2.500866189411838,0.000723436287348,1.270339509118478e-05
2.4515892455757653,0.0007331129954894,1.2491527346421044e-05
2.403283252206416,0.0007464309371299,1.2080347024034028e-05
2.3559290777437663,0.0007547134954808,1.1931039557393304e-05
2.3095079675951045,0.0007493608678382,1.1989795713446934e-05
2.264001536707288,0.0007471962707869,1.176752871695585e-05
2.219391762285352,0.0007384316966543,1.13949827782589e-05
2.1756609766545947,0.0007257298298149,1.135294361159655e-05
2.1327918602633025,0.0007174525412483,1.1434925425592724e-05
2.090767434823353,0.0007156233996512,1.1099815588925258e-05
2.0495710565859757,0.0007177261129779,1.1070208022429608e-05
2.00918640975,0.0007198072315599,1.2260486028534016e-05
1.9695975,0.0007202480438985,1.2098974544643748e-05
1.883613024039765,0.0007081762623835,8.003312375064595e-06
1.708492538811578,0.0006987208151204,6.987305601416068e-06
1.5496530964277349,0.0006858153064479,6.871275465848642e-06
1.4055810398437505,0.0006761107700375,6.890343620574921e-06
1.2749034375000003,0.0006696076413951,6.970339167644686e-06
1.1563750000000002,0.0006777705819719,7.1180912550085735e-06
0.95,0.0006621430132562,7.873526417560539e-06
0.7,0.0006769096126885,8.039271380860921e-06
0.55,0.0006985243354336,8.50925480528125e-06
7.27555920454383,0.0113379652220891,0.0002064429313067
6.813739109354263,0.0109804742650566,0.0001720596748356
6.381233297001908,0.0109883801895669,0.0001356914996502
5.976181027369112,0.0109304359521232,0.0001139084213345
5.596839671833715,0.0108545990857278,0.0001067987057032
5.241577216077359,0.0107471290665663,9.57418513472316e-05
4.908865238782125,0.0107071402169811,8.401724354650629e-05
4.597272336008233,0.0110423087489659,8.161591680239505e-05
4.305457962962963,0.0114964678423483,7.359252487321884e-05
4.032166666666667,0.0107501775294399,6.780387614775607e-05
3.7234489719722568,0.0110216522731613,0.0001339970882575
3.650082317392665,0.0111386553476949,0.000123805317952
3.578161275750088,0.0112800342454586,0.0001217772551723
3.507657362758639,0.0113572708653287,0.0001187428636646
3.4385426553853926,0.0113871278248196,0.0001196567607122
3.3707897807914837,0.0114373661056703,0.0001149451928152
3.304371905491112,0.0114785633603628,0.0001103499988951
3.2392627247241568,0.0114118055701053,0.0001075933380848
3.175436452038189,0.0114396795042902,0.0001050528113295
3.112867809075766,0.0112741165267581,0.000105843619863
3.0515320155629504,0.010986057410042,0.0001063593499025
2.9914047794950998,0.0107445281314719,0.0001011793538508
2.932462287516027,0.0107588528502143,9.846653270456168e-05
2.874681195486743,0.0109178457820129,9.523444697376576e-05
2.818038619240019,0.0110093358020447,9.586166755697344e-05
2.7625121255171248,0.011019167975831,9.50930142502439e-05
2.708079723083153,0.0111110777538063,9.39446280908866e-05
2.6547198540174035,0.010903273215641,8.806445544930231e-05
2.6024113851753783,0.0108326903117171,8.590821205869866e-05
2.5511335998190163,0.0108395036366212,8.56111239764952e-05
2.500866189411838,0.0109060979585525,8.940602166322257e-05
2.4515892455757653,0.011003989045175,8.737652022356686e-05
2.403283252206416,0.0111012638668485,8.316661026937785e-05
2.3559290777437663,0.0111650683518792,8.193336369486672e-05
2.3095079675951045,0.0111125033845379,8.244419340503642e-05
2.264001536707288,0.0110918089375098,8.08521599403176e-05
2.219391762285352,0.0110222364492234,7.718171140952574e-05
2.1756609766545947,0.0108243699265501,7.684949587028535e-05
2.1327918602633025,0.0106818484059978,7.734993478099494e-05
2.090767434823353,0.010601536702152,7.3952383726557e-05
2.0495710565859757,0.0106077824831722,7.354340847257592e-05
2.00918640975,0.010611464311893,8.473192123814805e-05
1.9695975,0.0105487101282612,8.301849602639636e-05
1.883613024039765,0.0105920268852055,3.954929740124369e-05
