planet_temp,log_H2O,log_CO2,log_CH4,log_CO,log_H2
636.858130335449,-8.829193007233386,-8.603964550575284,-5.501124441505634,-4.799370913228636,-6.0200194736215895
928.1678497208684,-6.072413224743515,-4.7651183450125725,-4.382302575580454,-4.912634856245699,-8.466155835724368
1307.5001594477692,-8.527238441670065,-6.993189796297019,-8.46675535254046,-4.243477084433801,-7.486172239760041
630.7332622362333,-8.281832653141283,-6.632091452934746,-6.421196238382989,-3.114610801573208,-5.032978823662413
741.6232964092002,-4.355408209524093,-6.746918048112545,-3.3828397458570425,-4.608534097480717,-5.568841724814865
801.6675655934966,-7.240619921280759,-6.723711809916707,-4.994874818613162,-4.777773055805689,-5.817058942920129
1604.5109643932508,-7.715643481319619,-8.968422026359816,-4.869570378978826,-4.609600207258266,-4.448313301688305
1524.9430665846464,-5.770633005494181,-4.082870390360446,-5.271076472775169,-3.738268909685192,-4.240494631320852
1428.97988299414,-5.381858001051587,-5.772468482900997,-3.880742443641844,-5.64666264173799,-6.520530006456086
756.8656113749978,-5.820007147017881,-6.473200531924694,-7.922953746757033,-4.594861642969258,-4.888356894505919
1024.184252030862,-4.065022639684222,-4.76773654770889,-5.730508071761723,-5.694366016081855,-4.677525446692091
1743.5203478615058,-8.100362306101534,-6.435194406847884,-7.701565280220983,-3.508204520709877,-5.573453623835697
1045.9585876198723,-5.8686267320239045,-7.1147856309835,-6.113252263540811,-5.270251049054632,-7.890202133362746
1792.0150483025643,-6.06819159674591,-8.047969755139892,-7.566752993256301,-5.929830940607304,-5.934090784393421
1058.3052078614978,-5.969584065331581,-7.013429415772615,-7.205993087488264,-4.373822130511488,-4.037373978654829
1207.457528208381,-6.149379632711776,-8.6768542387037,-8.318593085912582,-4.297367046984311,-6.710160933575967
1107.4885716074466,-3.0184749886425437,-4.069206135631549,-8.073327118956415,-3.2225881810894954,-4.427572870775857
683.2309607627093,-7.891542346230093,-8.107841874267123,-4.127140977856465,-5.80771243454246,-4.854035541541396
1177.4968417795403,-6.315104914335446,-8.103910983949858,-7.859443474482374,-3.579042444386588,-6.84628119963569
2052.0889995139096,-3.4732034428742717,-4.203902445845189,-6.384265887051749,-3.8947503637951866,-6.993792598839526
3601.626754632674,-8.718578796197296,-6.788316327867171,-3.3443079396187585,-3.279725642387331,-8.283032080801274
1771.308016700702,-4.3606486016613735,-8.618553326064221,-4.871181845216622,-5.622442215651068,-6.24801940067306
1596.8482513656588,-7.883014829498522,-6.703194247412549,-3.272933711356826,-5.454237280730141,-7.161561314954107
556.2523054425689,-5.031134638758386,-8.614774989955283,-4.314575632997117,-4.054174290060624,-4.493287415001165
398.06906792053474,-5.045607873995403,-4.173672914028892,-8.15886886157689,-5.900182009410107,-7.875313388280422
1195.387021455575,-5.469342141566788,-8.441329962356203,-4.462015435882727,-5.687934983023855,-8.985150879275226
952.6881615465222,-3.1998566979207848,-4.079866522962451,-3.150634401523836,-5.43280852195836,-5.775924094184175
791.993370713463,-7.4581680512037245,-8.401189945354494,-5.475674231609928,-5.953824688223269,-5.099257128497183
601.4724336751361,-7.542947550434773,-6.95676322037977,-5.725493729797202,-4.79582962536043,-8.214303927373123
1488.2989714008738,-4.398257382955413,-5.8674565366044735,-4.544917497069807,-3.428619173189783,-8.4420377898751
3280.311608834388,-8.529179743071728,-7.95912608656389,-4.212471987874557,-3.31772721390826,-6.119356252468219
632.4231461682581,-4.360837177437682,-5.608620076163653,-3.8062308707011097,-5.478468639068515,-8.15764689339105
693.6910995172831,-4.5510780397315145,-5.945085256177328,-4.794892758905058,-3.473271706099585,-6.563434230712325
1484.9868121872294,-5.974281824933008,-5.085637687440846,-4.73371042356873,-5.594736563255501,-5.647653252913726
713.7964120615696,-3.6308183452889526,-8.28068000531252,-8.567424667338155,-5.505313828700746,-6.2543616869339616
2089.876165687132,-6.623526520571976,-6.579503235346476,-4.918347978802782,-4.077452711725544,-5.863598782155551
185.61081320551352,-7.333431418905284,-7.034617116698762,-5.756444687062439,-5.328315032949892,-7.429420610346409
816.1824006974862,-3.2862627475788297,-4.220310787288954,-4.682077040526433,-3.405331266680664,-8.620854412189628
458.8309114578997,-5.959016375134114,-8.975052464350572,-4.880241495880085,-3.6013162848145086,-4.0228399945525535
1062.9489861050154,-3.5988982616446537,-7.751462347369663,-3.38377623555774,-5.556003277591311,-5.42282128767282
1466.61300621632,-7.731730875195876,-5.6081313939497175,-8.91735663790119,-4.770589536978001,-7.307559017713958
1818.532140311337,-7.385401772656138,-7.298576649768176,-8.474421888525656,-3.749751665466388,-4.673582409653685
850.1871757131627,-5.198095261798767,-5.927556038433356,-4.838905027750781,-4.784290586507993,-5.212542887482806
426.2752783601915,-3.873719010731313,-7.997561866598889,-8.148162716672868,-4.674087823203047,-6.250806576391756
3737.372715195487,-8.648589181238114,-7.611754942468287,-7.943922875983596,-3.618577833091001,-7.820584103465904
3241.464938232034,-3.750752686815658,-7.401191369896882,-8.209958851071374,-4.249784587215003,-7.473848453649882
652.9772949234573,-3.7874037604392585,-7.408340196246071,-4.829978196421356,-4.73198041632823,-5.000109760544147
574.07336173635,-3.07091491446871,-6.729457832189077,-3.0320281977452934,-4.108846778172339,-7.102217429746361
720.3953548983095,-8.352665301144556,-7.201783345634732,-4.348858859492285,-3.214274124914356,-6.684360568126705
